Brand,Perusahaan,Bidang Bisnis,Konsep Bisnis,Kisaran Investasi,Alamat,Telepon,Kisaran Investasi ,Bidang Usaha,Konsep Usaha,Investasi
Soyanatura,CV Soyanatura,n/a,BO,n/a,Jl. Paingan III/999 Manguwoharjo Depok Sleman Yogyakarta,0274-9210111/7420911,,,,
Tela Kremez,CV Angling Dharma Indonesia,Makanan,Franchise,"3-3,5jt",Ds. Bekel RT04/01 Kec. Perj. Jombang,0321-6218233,,,,
BurgerQu,CV Allino Group,F&B,BO,"5,8 – 24,8jt",Denikerto RT.01/07 Saniharjo Ngalik Selman Yogyakarta,0274-7145900,,,,
Mr Tacoz,CV Wirafood Nusantara,Kuliner Mexico,BO,25-35jt,Unimas Garden Regency Blok D No.10 Sidoarjo,031-8534179,,,,
Mini Cafe Ellina Resto,CV Ellino Group,F&B,BO,55jt,Deni Kerto RT01/07 Saroharjo ngalik Sleman Jogyakarta,0274-7145900,,,,
Dr - Inkjet,JPG Technology,Inkjet Refill Center,BO,10jt,Jl.Pondok Mas Raya No.12 & 28 Baros Cimahi,022-6629863,,,,
Teh que dan Segara Tea,CV Amanah Que,F&B,BO,4-6jt,Jl. Praja Dalam E RT12/02 No.45A kebayoran Lama Jakarta,021-97734265/021-92236165,,,,
The Ivy League,The Ivy League,Pendidikan,Perorangan,60jt,Caveworth Hotel Building Lt.4 Jl. Fatmawati No.74,021-7236134,,,,
Kaisa Rossie Perjalanan Wisata,Kaisa Rossie Perjalanan Wisata,Travel,Franchise,n/a,Jl.Cendrawasih No.17 C-D Semarang,024-3559678,,,,
Teh Gopek,PT Teh Gopek Cipta Utama,Teh,BO,n/a,Jl. Kapten Piere Tandean No.5 Slawi,0283-491435,,,,
Macaroni Panggang,CV Boga Nusa Jaya,F&B,Franchise,50-75jt,Regency Kuda 2 B16 Jagit Wonokromo Surabaya,031-71618111,,,,
Ajib Burger & Kebab,CV Mara Surya Persada,F&B,Franchise,Rp. 17jt - Rp. 25jt,Jl. Makan Panjang no.44 Desa Lemahabang Kulon Kec.Lemahabang Keb.Cirebon,0231-638179,,,,
